City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
109,port alfred,-33.5906,26.891,291.03,91,2,1.83,ZA,1651685324
110,pula,44.8683,13.8481,291.46,52,0,2.06,HR,1651685067
111,sorong,-0.8833,131.25,300.41,83,100,3.13,ID,1651685325
112,geraldton,-28.7667,114.6,291.38,48,53,11.32,AU,1651685325
113,komsomolskiy,40.4272,71.7189,294.55,52,40,4.12,UZ,1651685326
114,sabha,27.0377,14.4283,304.53,12,1,5.75,LY,1651685327
115,uvat,59.1433,68.8953,283.08,48,10,4.63,RU,1651685327
116,port lincoln,-34.7333,135.8667,286.83,50,84,7.73,AU,1651685328
117,gemena,3.25,19.7667,297.88,81,71,1.07,CD,1651685328
118,srednekolymsk,67.45,153.6833,271.05,97,100,0.92,RU,1651685329
119,bredasdorp,-34.5322,20.0403,289.27,93,45,2.7,ZA,1651685329
120,avarua,-21.2078,-159.775,298.18,88,20,2.06,CK,1651685330
121,canon city,38.441,-105.2424,287.94,56,100,4.63,US,1651685330
122,kupang,-10.1667,123.5833,299.12,82,60,3.32,ID,1651685331
123,udachnyy,66.4167,112.4,264.01,88,100,1.4,RU,1651685331
124,bakhmach,51.1808,32.7569,280.51,60,4,5.12,UA,1651685332
125,gillette,44.2911,-105.5022,279.85,92,100,0.0,US,1651685333
126,naze,28.3667,129.4833,294.66,78,100,6.47,JP,1651685333
127,alofi,-19.0595,-169.9187,297.09,78,8,3.6,NU,1651685333
128,tuatapere,-46.1333,167.6833,283.26,83,13,2.4,NZ,1651685334
129,souillac,-20.5167,57.5167,299.36,78,40,7.2,MU,1651685334
130,muros,42.7762,-9.0603,295.2,57,11,6.56,ES,1651685335
131,corrales,35.2378,-106.6067,291.71,20,0,5.36,US,1651685335
132,batagay,67.6333,134.6333,263.82,95,93,0.87,RU,1651685335
133,mangrol,21.1167,70.1167,300.84,87,0,3.67,IN,1651685336
134,cananeia,-25.0147,-47.9267,298.81,39,14,3.69,BR,1651685336
135,lazaro cardenas,17.9583,-102.2,302.06,56,100,3.29,MX,1651685337
136,teguise,29.0605,-13.564,293.27,49,20,8.75,ES,1651685060
137,gazanjyk,39.2446,55.5154,295.8,50,74,2.58,TM,1651685338
138,torbay,47.6666,-52.7314,282.53,81,100,4.63,CA,1651685338
139,madera,37.1666,-119.8343,300.59,31,3,1.84,US,1651685339
140,toamasina,-18.1667,49.3833,295.15,88,40,3.6,MG,1651685339
141,moron,-34.6534,-58.6198,293.04,49,2,1.95,AR,1651685204
142,jabinyanah,35.035,10.9081,296.04,62,0,8.95,TN,1651685340
143,santa cruz,-17.8,-63.1667,297.18,41,6,7.2,BO,1651685169
144,duldurga,50.6761,113.5931,280.09,27,98,3.48,RU,1651685341
145,mao,39.8885,4.2658,290.46,82,75,11.32,ES,1651685342
146,misratah,32.3754,15.0925,294.63,60,1,8.7,LY,1651685342
147,gold coast,-28.0,153.4333,293.15,95,40,2.06,AU,1651685342
148,san patricio,28.017,-97.5169,304.07,57,36,9.89,US,1651685343
149,zhigansk,66.7697,123.3711,262.99,94,94,4.3,RU,1651685344
150,saint-philippe,-21.3585,55.7679,296.92,87,56,6.76,RE,1651685344
151,sola,-13.8833,167.55,300.4,76,100,2.7,VU,1651685345
152,itarema,-2.9248,-39.9167,302.08,74,96,5.36,BR,1651685345
153,saint george,37.1041,-113.5841,292.83,28,0,3.09,US,1651685346
154,ahipara,-35.1667,173.1667,288.03,91,23,3.06,NZ,1651685346
155,menongue,-14.6585,17.691,291.14,55,12,1.98,AO,1651685348
156,tasiilaq,65.6145,-37.6368,271.24,69,100,4.37,GL,1651685348
157,rio gallegos,-51.6226,-69.2181,285.18,47,40,8.23,AR,1651685349
158,urucui,-7.2294,-44.5561,306.37,43,100,2.19,BR,1651685349
159,copiapo,-27.3667,-70.3333,290.98,35,2,3.28,CL,1651685350
160,pevek,69.7008,170.3133,260.12,89,99,2.07,RU,1651685350
161,faanui,-16.4833,-151.75,300.47,77,99,4.98,PF,1651685351
162,kashary,49.04,41.0056,285.98,48,68,2.1,RU,1651685351
163,berea,41.3662,-81.8543,285.9,96,100,4.12,US,1651685351
164,luau,-10.7073,22.2247,295.87,61,89,1.18,AO,1651685352
165,nome,64.5011,-165.4064,271.19,80,100,0.0,US,1651685352
166,almenara,-16.1836,-40.6944,306.99,29,0,1.91,BR,1651685353
167,te anau,-45.4167,167.7167,282.29,91,32,0.62,NZ,1651685353
168,qaanaaq,77.484,-69.3632,268.19,73,42,0.43,GL,1651685354
169,henties bay,-22.116,14.2845,295.43,52,0,3.23,NA,1651685354
170,bela vista,-22.1089,-56.5211,295.18,45,3,4.29,BR,1651685355
171,thompson,55.7435,-97.8558,270.24,74,100,3.6,CA,1651685355
